163,72,36,24,15,10,4,2,,,,,,
164,63,36,21,14,12,9,7,2,,,,,
165,60,42,18,15,12,9,7,2,,,,,
166,84,30,20,14,12,4,2,,,,,,
167,36,30,28,20,18,14,12,7,2,,,,
168,72,28,24,14,12,9,7,2,,,,,
169,40,36,30,24,18,15,4,2,,,,,
170,84,36,18,14,12,4,2,,,,,,
171,36,33,28,22,18,14,11,7,2,,,,
172,85,34,20,17,10,4,2,,,,,,
173,48,36,28,21,18,16,4,2,,,,,
174,48,36,30,20,18,16,4,2,,,,,
175,40,30,28,24,20,14,10,7,2,,,,
176,88,33,24,15,10,4,2,,,,,,
177,48,30,28,20,16,14,12,7,2,,,,
178,56,30,28,24,20,14,4,2,,,,,
179,42,36,28,21,18,15,10,7,2,,,,
180,42,40,35,24,21,12,4,2,,,,,
181,90,28,18,14,12,10,7,2,,,,,
182,84,35,18,15,12,9,7,2,,,,,
183,48,40,35,24,16,14,4,2,,,,,
184,60,36,28,21,18,15,4,2,,,,,
185,52,39,30,26,20,12,4,2,,,,,
186,63,35,28,21,18,15,4,2,,,,,
187,42,40,30,24,18,15,9,7,2,,,,
188,84,42,18,14,12,9,7,2,,,,,
189,52,39,36,26,18,12,4,2,,,,,
190,56,42,30,24,20,12,4,2,,,,,
191,42,40,36,24,18,12,10,7,2,,,,
192,55,44,33,22,20,12,4,2,,,,,
193,70,36,28,20,18,15,4,2,,,,,
194,56,42,36,24,18,12,4,2,,,,,
195,60,36,28,20,18,14,10,7,2,,,,
196,60,40,36,24,18,12,4,2,,,,,
197,54,40,36,27,24,10,4,2,,,,,
198,63,40,35,24,18,12,4,2,,,,,
199,52,48,39,26,16,12,4,2,,,,,
200,66,44,30,22,20,12,4,2,,,,,
201,48,42,40,24,16,12,10,7,2,,,,
202,56,40,36,21,18,12,10,7,2,,,,
203,56,42,40,28,21,10,4,2,,,,,
204,77,66,18,14,11,9,7,2,,,,,
205,80,35,30,24,16,14,4,2,,,,,
206,60,45,36,28,21,10,4,2,,,,,
207,72,45,30,24,18,12,4,2,,,,,
208,63,45,35,28,21,10,4,2,,,,,
209,63,42,35,20,18,12,10,7,2,,,,
210,60,54,36,27,15,12,4,2,,,,,
211,56,42,40,28,14,12,10,7,2,,,,
212,63,54,35,27,15,12,4,2,,,,,
