42,12,10,6,5,5,4,,,
43,21,7,7,6,2,,,,
44,14,7,7,7,6,3,,,
45,18,12,9,4,2,,,,
46,15,12,5,5,5,4,,,
47,20,6,6,6,5,4,,,
48,15,10,10,5,5,3,,,
49,15,15,6,5,4,4,,,
50,18,9,8,8,4,3,,,
51,20,12,6,5,4,4,,,
52,24,8,6,6,4,4,,,
53,9,9,9,8,8,6,4,,
54,15,15,12,5,4,3,,,
55,15,12,10,8,8,2,,,
56,12,12,8,8,6,6,4,,
57,14,12,7,7,7,6,4,,
58,20,12,10,10,3,3,,,
59,20,18,9,5,4,3,,,
60,30,10,6,6,5,3,,,
61,15,15,10,6,5,5,5,,
62,21,15,10,7,7,2,,,
63,18,12,10,9,5,5,4,,
64,20,15,12,10,5,2,,,
65,16,16,8,8,8,6,3,,
66,21,12,8,8,7,7,3,,
67,24,9,9,9,8,4,4,,
68,24,12,10,8,5,5,4,,
69,14,12,8,8,7,7,7,6,
70,20,15,15,6,5,5,4,,
71,20,15,12,10,6,5,3,,
72,18,18,18,12,4,2,,,
73,21,15,15,7,7,5,3,,
74,18,10,10,10,9,6,6,5,
75,15,12,12,10,10,6,5,5,
76,30,12,10,8,8,5,3,,
77,20,10,10,9,9,9,6,4,
78,18,15,12,12,10,9,2,,
79,24,24,15,10,4,2,,,
80,40,10,8,6,6,6,4,,
81,40,12,8,6,5,5,5,,
82,21,20,8,8,7,7,6,5,
83,18,16,16,9,8,6,6,4,
84,42,8,8,8,8,7,3,,
85,42,15,7,6,5,5,5,,
86,21,15,14,14,7,5,5,5,
87,20,18,15,10,9,6,5,4,
88,24,20,10,10,8,6,6,4,
89,24,20,12,10,8,5,5,5,
90,24,21,14,14,8,7,2,,
91,45,12,12,9,5,4,4,,
92,28,18,14,9,7,6,6,4,
93,24,16,16,15,15,5,2,,
94,35,15,12,7,7,7,7,4,
95,16,16,15,12,10,8,6,6,6
96,24,24,12,12,10,5,5,4,
97,48,20,16,6,5,2,,,
98,28,21,20,6,6,6,6,5,
99,28,21,14,12,7,7,7,3,
100,30,20,12,12,12,6,4,4,
101,30,20,20,10,6,5,5,5,
102,20,16,16,15,10,8,6,6,5
